Date : 2024-03-17 23:49:27
Directory : /opt/projects/swiftkube
Total : 8871 files,  2953166 codes, 17663 comments, 334877 blanks, all 3305706 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| vendor/golang.org/x/tools/internal/pkgbits                                                                                                              |         11 |      1,133 |          0 |        206 |      1,339 |
| vendor/golang.org/x/tools/internal/tokeninternal                                                                                                        |          1 |        135 |          0 |         17 |        152 |
| vendor/golang.org/x/tools/internal/typeparams                                                                                                           |          9 |      1,074 |          0 |        161 |      1,235 |
| vendor/golang.org/x/tools/internal/typesinternal                                                                                                        |          4 |      1,607 |          0 |        216 |      1,823 |
| vendor/google.golang.org                                                                                                                                |        346 |    711,650 |          1 |     62,483 |    774,134 |
| vendor/google.golang.org/api                                                                                                                            |         36 |    625,675 |          0 |     52,915 |    678,590 |
| vendor/google.golang.org/api/compute                                                                                                                    |          3 |    602,345 |          0 |     50,327 |    652,672 |
| vendor/google.golang.org/api/compute/v0.alpha                                                                                                           |          1 |    222,031 |          0 |     18,606 |    240,637 |
| vendor/google.golang.org/api/compute/v0.beta                                                                                                            |          1 |    197,231 |          0 |     16,381 |    213,612 |
| vendor/google.golang.org/api/compute/v1                                                                                                                 |          1 |    183,083 |          0 |     15,340 |    198,423 |
| vendor/google.golang.org/api/container                                                                                                                  |          1 |     16,303 |          0 |      1,710 |     18,013 |
| vendor/google.golang.org/api/container/v1                                                                                                               |          1 |     16,303 |          0 |      1,710 |     18,013 |
| vendor/google.golang.org/api/googleapi                                                                                                                  |          3 |        631 |          0 |         99 |        730 |
| vendor/google.golang.org/api/googleapi (Files)                                                                                                          |          2 |        592 |          0 |         93 |        685 |
| vendor/google.golang.org/api/googleapi/transport                                                                                                        |          1 |         39 |          0 |          6 |         45 |
| vendor/google.golang.org/api/internal                                                                                                                   |         23 |      2,298 |          0 |        299 |      2,597 |
| vendor/google.golang.org/api/internal (Files)                                                                                                           |          5 |        497 |          0 |         55 |        552 |
| vendor/google.golang.org/api/internal/cert                                                                                                              |          3 |        209 |          0 |         29 |        238 |
| vendor/google.golang.org/api/internal/gensupport                                                                                                        |         12 |      1,235 |          0 |        176 |      1,411 |
| vendor/google.golang.org/api/internal/impersonate                                                                                                       |          1 |        113 |          0 |         16 |        129 |
| vendor/google.golang.org/api/internal/third_party                                                                                                       |          2 |        244 |          0 |         23 |        267 |
| vendor/google.golang.org/api/internal/third_party/uritemplates                                                                                          |          2 |        244 |          0 |         23 |        267 |
| vendor/google.golang.org/api/option                                                                                                                     |          2 |        394 |          0 |         96 |        490 |
| vendor/google.golang.org/api/option (Files)                                                                                                             |          1 |        282 |          0 |         64 |        346 |
| vendor/google.golang.org/api/option/internaloption                                                                                                      |          1 |        112 |          0 |         32 |        144 |
| vendor/google.golang.org/api/tpu                                                                                                                        |          1 |      3,407 |          0 |        341 |      3,748 |
| vendor/google.golang.org/api/tpu/v1                                                                                                                     |          1 |      3,407 |          0 |        341 |      3,748 |
| vendor/google.golang.org/api/transport                                                                                                                  |          3 |        297 |          0 |         43 |        340 |
| vendor/google.golang.org/api/transport/http                                                                                                             |          3 |        297 |          0 |         43 |        340 |
| vendor/google.golang.org/api/transport/http (Files)                                                                                                     |          2 |        223 |          0 |         29 |        252 |
| vendor/google.golang.org/api/transport/http/internal                                                                                                    |          1 |         74 |          0 |         14 |         88 |
| vendor/google.golang.org/api/transport/http/internal/propagation                                                                                        |          1 |         74 |          0 |         14 |         88 |
| vendor/google.golang.org/appengine                                                                                                                      |         36 |     10,125 |          1 |      1,459 |     11,585 |
| vendor/google.golang.org/appengine (Files)                                                                                                              |          6 |        326 |          0 |         68 |        394 |
| vendor/google.golang.org/appengine/internal                                                                                                             |         29 |      9,615 |          1 |      1,364 |     10,980 |
| vendor/google.golang.org/appengine/internal (Files)                                                                                                     |         15 |      1,456 |          0 |        251 |      1,707 |
| vendor/google.golang.org/appengine/internal/app_identity                                                                                                |          2 |        601 |          0 |         76 |        677 |
| vendor/google.golang.org/appengine/internal/base                                                                                                        |          2 |        297 |          1 |         45 |        343 |
| vendor/google.golang.org/appengine/internal/datastore                                                                                                   |          2 |      4,309 |          0 |        611 |      4,920 |
| vendor/google.golang.org/appengine/internal/log                                                                                                         |          2 |      1,293 |          0 |        172 |      1,465 |
| vendor/google.golang.org/appengine/internal/modules                                                                                                     |          2 |        766 |          0 |        102 |        868 |
| vendor/google.golang.org/appengine/internal/remote_api                                                                                                  |          2 |        364 |          0 |         43 |        407 |
| vendor/google.golang.org/appengine/internal/urlfetch                                                                                                    |          2 |        529 |          0 |         64 |        593 |
| vendor/google.golang.org/appengine/urlfetch                                                                                                             |          1 |        184 |          0 |         27 |        211 |
| vendor/google.golang.org/genproto                                                                                                                       |         19 |     10,470 |          0 |      1,142 |     11,612 |
| vendor/google.golang.org/genproto/googleapis                                                                                                            |         17 |     10,435 |          0 |      1,135 |     11,570 |
| vendor/google.golang.org/genproto/googleapis/api                                                                                                        |         14 |      8,759 |          0 |        955 |      9,714 |
| vendor/google.golang.org/genproto/googleapis/api (Files)                                                                                                |          2 |        203 |          0 |         25 |        228 |
| vendor/google.golang.org/genproto/googleapis/api/annotations                                                                                            |          6 |      3,933 |          0 |        352 |      4,285 |
| vendor/google.golang.org/genproto/googleapis/api/expr                                                                                                   |          5 |      4,409 |          0 |        556 |      4,965 |
| vendor/google.golang.org/genproto/googleapis/api/expr/v1alpha1                                                                                          |          5 |      4,409 |          0 |        556 |      4,965 |
| vendor/google.golang.org/genproto/googleapis/api/httpbody                                                                                               |          1 |        214 |          0 |         22 |        236 |
| vendor/google.golang.org/genproto/googleapis/rpc                                                                                                        |          3 |      1,676 |          0 |        180 |      1,856 |
| vendor/google.golang.org/genproto/googleapis/rpc/code                                                                                                   |          1 |        316 |          0 |         21 |        337 |
| vendor/google.golang.org/genproto/googleapis/rpc/errdetails                                                                                             |          1 |      1,178 |          0 |        137 |      1,315 |
| vendor/google.golang.org/genproto/googleapis/rpc/status                                                                                                 |          1 |        182 |          0 |         22 |        204 |
| vendor/google.golang.org/genproto/internal                                                                                                              |          1 |         16 |          0 |          2 |         18 |
| vendor/google.golang.org/genproto/protobuf                                                                                                              |          1 |         19 |          0 |          5 |         24 |
| vendor/google.golang.org/genproto/protobuf/field_mask                                                                                                   |          1 |         19 |          0 |          5 |         24 |
| vendor/google.golang.org/grpc                                                                                                                           |        112 |     25,732 |          0 |      2,786 |     28,518 |
| vendor/google.golang.org/grpc (Files)                                                                                                                   |         18 |      8,245 |          0 |        830 |      9,075 |
| vendor/google.golang.org/grpc/attributes                                                                                                                |          1 |         95 |          0 |          7 |        102 |
| vendor/google.golang.org/grpc/backoff                                                                                                                   |          1 |         48 |          0 |          5 |         53 |
| vendor/google.golang.org/grpc/balancer                                                                                                                  |          6 |        843 |          0 |         98 |        941 |
| vendor/google.golang.org/grpc/balancer (Files)                                                                                                          |          2 |        440 |          0 |         40 |        480 |
| vendor/google.golang.org/grpc/balancer/base                                                                                                             |          2 |        290 |          0 |         37 |        327 |
| vendor/google.golang.org/grpc/balancer/grpclb                                                                                                           |          1 |         44 |          0 |          8 |         52 |
| vendor/google.golang.org/grpc/balancer/grpclb/state                                                                                                     |          1 |         44 |          0 |          8 |         52 |
| vendor/google.golang.org/grpc/balancer/roundrobin                                                                                                       |          1 |         69 |          0 |         13 |         82 |
| vendor/google.golang.org/grpc/binarylog                                                                                                                 |          1 |      1,051 |          0 |        133 |      1,184 |
| vendor/google.golang.org/grpc/binarylog/grpc_binarylog_v1                                                                                               |          1 |      1,051 |          0 |        133 |      1,184 |
| vendor/google.golang.org/grpc/channelz                                                                                                                  |          1 |         33 |          0 |          4 |         37 |
| vendor/google.golang.org/grpc/codes                                                                                                                     |          2 |        323 |          0 |         34 |        357 |
| vendor/google.golang.org/grpc/connectivity                                                                                                              |          1 |         85 |          0 |         10 |         95 |
| vendor/google.golang.org/grpc/credentials                                                                                                               |          3 |        565 |          0 |         63 |        628 |
| vendor/google.golang.org/grpc/credentials (Files)                                                                                                       |          2 |        484 |          0 |         45 |        529 |
| vendor/google.golang.org/grpc/credentials/insecure                                                                                                      |          1 |         81 |          0 |         18 |         99 |
| vendor/google.golang.org/grpc/encoding                                                                                                                  |          3 |        289 |          0 |         39 |        328 |
| vendor/google.golang.org/grpc/encoding (Files)                                                                                                          |          1 |        123 |          0 |         13 |        136 |
| vendor/google.golang.org/grpc/encoding/gzip                                                                                                             |          1 |        117 |          0 |         16 |        133 |
| vendor/google.golang.org/grpc/encoding/proto                                                                                                            |          1 |         49 |          0 |         10 |         59 |
| vendor/google.golang.org/grpc/grpclog                                                                                                                   |          4 |        504 |          0 |         94 |        598 |
| vendor/google.golang.org/grpc/health                                                                                                                    |          2 |        470 |          0 |         63 |        533 |
| vendor/google.golang.org/grpc/health/grpc_health_v1                                                                                                     |          2 |        470 |          0 |         63 |        533 |
| vendor/google.golang.org/grpc/internal                                                                                                                  |         58 |     11,738 |          0 |      1,222 |     12,960 |
| vendor/google.golang.org/grpc/internal (Files)                                                                                                          |          2 |        191 |          0 |         21 |        212 |
| vendor/google.golang.org/grpc/internal/backoff                                                                                                          |          1 |         66 |          0 |          8 |         74 |
| vendor/google.golang.org/grpc/internal/balancer                                                                                                         |          1 |        352 |          0 |         33 |        385 |
| vendor/google.golang.org/grpc/internal/balancer/gracefulswitch                                                                                          |          1 |        352 |          0 |         33 |        385 |
| vendor/google.golang.org/grpc/internal/balancerload                                                                                                     |          1 |         40 |          0 |          7 |         47 |
| vendor/google.golang.org/grpc/internal/binarylog                                                                                                        |          5 |        951 |          0 |         99 |      1,050 |
| vendor/google.golang.org/grpc/internal/buffer                                                                                                           |          1 |         78 |          0 |          8 |         86 |
| vendor/google.golang.org/grpc/internal/channelz                                                                                                         |          8 |      1,639 |          0 |        192 |      1,831 |
| vendor/google.golang.org/grpc/internal/credentials                                                                                                      |          4 |        209 |          0 |         29 |        238 |
| vendor/google.golang.org/grpc/internal/envconfig                                                                                                        |          3 |        174 |          0 |         19 |        193 |
| vendor/google.golang.org/grpc/internal/grpclog                                                                                                          |          2 |        199 |          0 |         22 |        221 |
| vendor/google.golang.org/grpc/internal/grpcrand                                                                                                         |          1 |         65 |          0 |         10 |         75 |
| vendor/google.golang.org/grpc/internal/grpcsync                                                                                                         |          2 |         83 |          0 |         12 |         95 |
| vendor/google.golang.org/grpc/internal/grpcutil                                                                                                         |          6 |        261 |          0 |         34 |        295 |
| vendor/google.golang.org/grpc/internal/metadata                                                                                                         |          1 |        120 |          0 |         13 |        133 |
| vendor/google.golang.org/grpc/internal/pretty                                                                                                           |          1 |         76 |          0 |          7 |         83 |
| vendor/google.golang.org/grpc/internal/resolver                                                                                                         |          4 |        678 |          0 |         89 |        767 |
| vendor/google.golang.org/grpc/internal/resolver (Files)                                                                                                 |          1 |        151 |          0 |         17 |        168 |
| vendor/google.golang.org/grpc/internal/resolver/dns                                                                                                     |          1 |        413 |          0 |         46 |        459 |
| vendor/google.golang.org/grpc/internal/resolver/passthrough                                                                                             |          1 |         52 |          0 |         13 |         65 |
| vendor/google.golang.org/grpc/internal/resolver/unix                                                                                                    |          1 |         62 |          0 |         13 |         75 |
| vendor/google.golang.org/grpc/internal/serviceconfig                                                                                                    |          1 |        163 |          0 |         18 |        181 |
| vendor/google.golang.org/grpc/internal/status                                                                                                           |          1 |        155 |          0 |         22 |        177 |
| vendor/google.golang.org/grpc/internal/syscall                                                                                                          |          2 |        163 |          0 |         28 |        191 |
| vendor/google.golang.org/grpc/internal/transport                                                                                                        |         11 |      6,075 |          0 |        551 |      6,626 |
| vendor/google.golang.org/grpc/internal/transport (Files)                                                                                                |         10 |      6,035 |          0 |        544 |      6,579 |
| vendor/google.golang.org/grpc/internal/transport/networktype                                                                                            |          1 |         40 |          0 |          7 |         47 |
| vendor/google.golang.org/grpc/keepalive                                                                                                                 |          1 |         80 |          0 |          6 |         86 |
| vendor/google.golang.org/grpc/metadata                                                                                                                  |          1 |        267 |          0 |         29 |        296 |
| vendor/google.golang.org/grpc/peer                                                                                                                      |          1 |         44 |          0 |          8 |         52 |
| vendor/google.golang.org/grpc/resolver                                                                                                                  |          3 |        499 |          0 |         58 |        557 |
| vendor/google.golang.org/grpc/resolver (Files)                                                                                                          |          2 |        415 |          0 |         45 |        460 |
| vendor/google.golang.org/grpc/resolver/manual                                                                                                           |          1 |         84 |          0 |         13 |         97 |
| vendor/google.golang.org/grpc/serviceconfig                                                                                                             |          1 |         40 |          0 |          5 |         45 |
| vendor/google.golang.org/grpc/stats                                                                                                                     |          2 |        341 |          0 |         57 |        398 |
| vendor/google.golang.org/grpc/status                                                                                                                    |          1 |        120 |          0 |         16 |        136 |
| vendor/google.golang.org/grpc/tap                                                                                                                       |          1 |         52 |          0 |          5 |         57 |
| vendor/google.golang.org/protobuf                                                                                                                       |        143 |     39,648 |          0 |      4,181 |     43,829 |
| vendor/google.golang.org/protobuf/encoding                                                                                                              |          8 |      3,185 |          0 |        431 |      3,616 |
| vendor/google.golang.org/protobuf/encoding/protojson                                                                                                    |          4 |      1,677 |          0 |        241 |      1,918 |
| vendor/google.golang.org/protobuf/encoding/prototext                                                                                                    |          3 |      1,012 |          0 |        138 |      1,150 |
| vendor/google.golang.org/protobuf/encoding/protowire                                                                                                    |          1 |        496 |          0 |         52 |        548 |
| vendor/google.golang.org/protobuf/internal                                                                                                              |         89 |     21,606 |          0 |      2,246 |     23,852 |
| vendor/google.golang.org/protobuf/internal/descfmt                                                                                                      |          1 |        299 |          0 |         20 |        319 |
| vendor/google.golang.org/protobuf/internal/descopts                                                                                                     |          1 |         26 |          0 |          4 |         30 |
| vendor/google.golang.org/protobuf/internal/detrand                                                                                                      |          1 |         61 |          0 |          9 |         70 |
| vendor/google.golang.org/protobuf/internal/encoding                                                                                                     |         14 |      3,202 |          0 |        357 |      3,559 |
| vendor/google.golang.org/protobuf/internal/encoding/defval                                                                                              |          1 |        202 |          0 |         12 |        214 |
| vendor/google.golang.org/protobuf/internal/encoding/json                                                                                                |          5 |      1,013 |          0 |        145 |      1,158 |
| vendor/google.golang.org/protobuf/internal/encoding/messageset                                                                                          |          1 |        228 |          0 |         15 |        243 |
| vendor/google.golang.org/protobuf/internal/encoding/tag                                                                                                 |          1 |        200 |          0 |          8 |        208 |
| vendor/google.golang.org/protobuf/internal/encoding/text                                                                                                |          6 |      1,559 |          0 |        177 |      1,736 |
| vendor/google.golang.org/protobuf/internal/errors                                                                                                       |          3 |        115 |          0 |         30 |        145 |
| vendor/google.golang.org/protobuf/internal/filedesc                                                                                                     |          7 |      2,692 |          0 |        202 |      2,894 |
| vendor/google.golang.org/protobuf/internal/filetype                                                                                                     |          1 |        267 |          0 |         30 |        297 |
| vendor/google.golang.org/protobuf/internal/flags                                                                                                        |          3 |         35 |          0 |         12 |         47 |
| vendor/google.golang.org/protobuf/internal/genid                                                                                                        |         15 |      1,411 |          0 |        304 |      1,715 |
| vendor/google.golang.org/protobuf/internal/impl                                                                                                         |         35 |     12,889 |          0 |      1,190 |     14,079 |
| vendor/google.golang.org/protobuf/internal/order                                                                                                        |          2 |        176 |          0 |         30 |        206 |
| vendor/google.golang.org/protobuf/internal/pragma                                                                                                       |          1 |         23 |          0 |          7 |         30 |
| vendor/google.golang.org/protobuf/internal/set                                                                                                          |          1 |         52 |          0 |          7 |         59 |
| vendor/google.golang.org/protobuf/internal/strs                                                                                                         |          3 |        284 |          0 |         38 |        322 |
| vendor/google.golang.org/protobuf/internal/version                                                                                                      |          1 |         74 |          0 |          6 |         80 |
| vendor/google.golang.org/protobuf/proto                                                                                                                 |         17 |      2,009 |          0 |        169 |      2,178 |
| vendor/google.golang.org/protobuf/reflect                                                                                                               |         16 |      4,768 |          0 |        472 |      5,240 |
| vendor/google.golang.org/protobuf/reflect/protodesc                                                                                                     |          5 |      1,346 |          0 |         95 |      1,441 |
| vendor/google.golang.org/protobuf/reflect/protoreflect                                                                                                  |         10 |      2,603 |          0 |        313 |      2,916 |
| vendor/google.golang.org/protobuf/reflect/protoregistry                                                                                                 |          1 |        819 |          0 |         64 |        883 |
| vendor/google.golang.org/protobuf/runtime                                                                                                               |          4 |        230 |          0 |         61 |        291 |
| vendor/google.golang.org/protobuf/runtime/protoiface                                                                                                    |          2 |        141 |          0 |         44 |        185 |
| vendor/google.golang.org/protobuf/runtime/protoimpl                                                                                                     |          2 |         89 |          0 |         17 |        106 |
| vendor/google.golang.org/protobuf/types                                                                                                                 |          9 |      7,850 |          0 |        802 |      8,652 |
| vendor/google.golang.org/protobuf/types/descriptorpb                                                                                                    |          1 |      3,920 |          0 |        431 |      4,351 |
| vendor/google.golang.org/protobuf/types/dynamicpb                                                                                                       |          1 |        649 |          0 |         69 |        718 |
| vendor/google.golang.org/protobuf/types/known                                                                                                           |          7 |      3,281 |          0 |        302 |      3,583 |
| vendor/google.golang.org/protobuf/types/known/anypb                                                                                                     |          1 |        468 |          0 |         28 |        496 |
| vendor/google.golang.org/protobuf/types/known/durationpb                                                                                                |          1 |        350 |          0 |         25 |        375 |
| vendor/google.golang.org/protobuf/types/known/emptypb                                                                                                   |          1 |        151 |          0 |         16 |        167 |
| vendor/google.golang.org/protobuf/types/known/fieldmaskpb                                                                                               |          1 |        553 |          0 |         36 |        589 |
| vendor/google.golang.org/protobuf/types/known/structpb                                                                                                  |          1 |        731 |          0 |         80 |        811 |
| vendor/google.golang.org/protobuf/types/known/timestamppb                                                                                               |          1 |        358 |          0 |         26 |        384 |
| vendor/google.golang.org/protobuf/types/known/wrapperspb                                                                                                |          1 |        670 |          0 |         91 |        761 |
| vendor/gopkg.in                                                                                                                                         |         46 |     22,103 |          0 |      2,397 |     24,500 |
| vendor/gopkg.in/gcfg.v1                                                                                                                                 |         14 |      1,826 |          0 |        193 |      2,019 |
| vendor/gopkg.in/gcfg.v1 (Files)                                                                                                                         |          4 |        743 |          0 |         49 |        792 |
| vendor/gopkg.in/gcfg.v1/scanner                                                                                                                         |          2 |        413 |          0 |         52 |        465 |
| vendor/gopkg.in/gcfg.v1/token                                                                                                                           |          3 |        507 |          0 |         70 |        577 |
| vendor/gopkg.in/gcfg.v1/types                                                                                                                           |          5 |        163 |          0 |         22 |        185 |
| vendor/gopkg.in/inf.v0                                                                                                                                  |          2 |        695 |          0 |         67 |        762 |
| vendor/gopkg.in/natefinch                                                                                                                               |          3 |        496 |          0 |         78 |        574 |
| vendor/gopkg.in/natefinch/lumberjack.v2                                                                                                                 |          3 |        496 |          0 |         78 |        574 |
| vendor/gopkg.in/warnings.v0                                                                                                                             |          1 |        183 |          0 |         12 |        195 |
| vendor/gopkg.in/yaml.v2                                                                                                                                 |         13 |      8,692 |          0 |        960 |      9,652 |
| vendor/gopkg.in/yaml.v3                                                                                                                                 |         13 |     10,211 |          0 |      1,087 |     11,298 |
| vendor/k8s.io                                                                                                                                           |      4,804 |  1,047,593 |     16,695 |    126,306 |  1,190,594 |
| vendor/k8s.io/api                                                                                                                                       |        426 |    332,256 |     14,399 |     20,927 |    367,582 |
| vendor/k8s.io/api/admission                                                                                                                             |         15 |      4,437 |        168 |        296 |      4,901 |
| vendor/k8s.io/api/admission/v1                                                                                                                          |          7 |      2,196 |         84 |        142 |      2,422 |
| vendor/k8s.io/api/admission/v1beta1                                                                                                                     |          8 |      2,241 |         84 |        154 |      2,479 |
| vendor/k8s.io/api/admissionregistration                                                                                                                 |         22 |     20,499 |      1,673 |      1,210 |     23,382 |
| vendor/k8s.io/api/admissionregistration/v1                                                                                                              |          7 |      4,900 |        414 |        293 |      5,607 |
| vendor/k8s.io/api/admissionregistration/v1alpha1                                                                                                        |          7 |      5,871 |        448 |        354 |      6,673 |
| vendor/k8s.io/api/admissionregistration/v1beta1                                                                                                         |          8 |      9,728 |        811 |        563 |     11,102 |
| vendor/k8s.io/api/apidiscovery                                                                                                                          |          7 |      2,167 |         80 |        151 |      2,398 |
| vendor/k8s.io/api/apidiscovery/v2beta1                                                                                                                  |          7 |      2,167 |         80 |        151 |      2,398 |
| vendor/k8s.io/api/apiserverinternal                                                                                                                     |          7 |      2,147 |         52 |        172 |      2,371 |
| vendor/k8s.io/api/apiserverinternal/v1alpha1                                                                                                            |          7 |      2,147 |         52 |        172 |      2,371 |
| vendor/k8s.io/api/apps                                                                                                                                  |         23 |     30,935 |      1,268 |      1,982 |     34,185 |
| vendor/k8s.io/api/apps/v1                                                                                                                               |          7 |     10,702 |        469 |        667 |     11,838 |
| vendor/k8s.io/api/apps/v1beta1                                                                                                                          |          8 |      8,380 |        308 |        548 |      9,236 |
| vendor/k8s.io/api/apps/v1beta2                                                                                                                          |          8 |     11,853 |        491 |        767 |     13,111 |
| vendor/k8s.io/api/authentication                                                                                                                        |         23 |      6,719 |        174 |        540 |      7,433 |
| vendor/k8s.io/api/authentication/v1                                                                                                                     |          7 |      3,531 |         99 |        246 |      3,876 |
| vendor/k8s.io/api/authentication/v1alpha1                                                                                                               |          8 |        790 |         12 |        105 |        907 |
| vendor/k8s.io/api/authentication/v1beta1                                                                                                                |          8 |      2,398 |         63 |        189 |      2,650 |
| vendor/k8s.io/api/authorization                                                                                                                         |         15 |      9,746 |        268 |        626 |     10,640 |
| vendor/k8s.io/api/authorization/v1                                                                                                                      |          7 |      4,817 |        134 |        301 |      5,252 |
| vendor/k8s.io/api/authorization/v1beta1                                                                                                                 |          8 |      4,929 |        134 |        325 |      5,388 |
| vendor/k8s.io/api/autoscaling                                                                                                                           |         30 |     30,227 |      1,065 |      1,870 |     33,162 |
